Not applicable 1,1
Not applicable 2,1
Not applicable 3,1
Not applicable 4,1
"All
data supporting the findings of this study are available within the paper.",1
The datasets analyzed during the current study are available from the corresponding author on reasonable request.,1
Not applicable 7,1
Not applicable 8,1
Software used this manuscript are publicly available mentioned in the methods section. Data generated from this study have been deposited to NCBI GEO repository with accession number GEO150226.,1
Small RNA libraries were deposited in the Gene Expression Omnibus (GEO) database (www.ncbi.nlm.nih.gov/geo/) under accession no. GSE46422. Transcriptom libraries were deposited in the GEO database under accession no. GSE46423.,1
scRNA-seq datasets were deposited into NCBI database [https://www.ncbi.nlm.nih.gov/] Sequence Read Archive SUB8429356 and will be made available upon manuscript acceptance/publication. Additional filtered feature matrix files may be found at https://github.com/dosSantosLabCSHL/JOMG-Henry_Trousdell_Cyrill_Et_al. Previously published datasets for murine mammary epithelial cells are available under the following IDs: GSM2834498 GSM2834499 (mammary tissue from nulliparous C57BL/6 female mice) GSM2834500 GSM2834501 (mammary tissue from C57BL/6 female mice at mid-gestation) GSM2834502 GSM2834503 (mammary tissue from C57BL/6 female mice during lactation) GSM2834504 GSM2834505 (mammary tissue from nulliparous C57BL/6 female mice at late involution stage). Previously published datasets for human breast epithelial cells are available under the following IDs: GSM3099846 (Ind#4 MECs) GSM3099847 (Ind#5 MECs) GSM3099848 (Ind #6 MECs) and GSM3099849 (Ind #7 MECs).,1
Not applicable 12,1
Illumina and PacBio sequencing data from this study have been submitted to the NCBI BioProject (https://www.ncbi.nlm.nih.gov/bioproject) under accession number PRJNA476239. Variant calls from all callers are available as a Supplemental File. The alignments assemblies and variant calls are also available at: http://www.schatz-lab.org/publications/SKBR3/.,1
Not applicable 14,1
Not applicable 15,1
Raw data sets for sequencing data sets have been deposited in the NCBI Gene Expression Omnibus (GEO) repository (http://www.ncbi.nlm.nih.gov/geo/) under accession number GSE56244 (Supplemental Table 2).,1
Not applicable 17,1
"The biological data sequencing data assembled genome sequences and annotations generated in this study have been submitted to the NCBI BioProject database (https://www.ncbi.nlm.nih.gov/bioproject/) under accession numbers PRJNA174631 (A. dorsata) and PRJNA45871 (A. florea).
",1
Sequencing data reported here have been deposited in Gene Expression Omnibus (GSE133528). Mass spectrometry data have been deposited to the PRIDE (Proteomics Identifications) archive (PXD014472).,1
Not applicable 20,1
Not applicable 21,1
The complete RiceCyc database is available online as well as for download from ftp://ftp.gramene.org/pub/gramene/pathways/ricecyc/ in Ocelot (readable by Pathway Tools) BioPAX level-2 and 3 and SBML (Stromback and Lambrix 2005) formats. If desired RiceCyc can be installed for local access on an individual’s desktop or their webserver. Only required items to achieve this are the RiceCyc database archive from our FTP server (ftp://ftp.gramene.org/pub/gramene/pathways/ricecyc/) and the installation of PathwayTools (available from SRI under their license agreement; http://biocyc.org/download.shtml). The local database setup on desktops running windows linux mac or unix environments offer additional operability such as faster speed the opportunity to update the database with proprietary data and the ability to perform programmatic queries including comparing species wide cellular overviews of pathway networks from multiple species.,1
Not applicable 23,1
Not applicable 24,1
All small RNA sequencing data are available from the modENCODE data coordination center the NCBI Gene Expression Omnibus (GEO; http://www.ncbi.nlm.nih.gov/geo/) and/or the NCBI Sequence Read Archive (SRA; http://www.ncbi.nlm.nih.gov/sra) under the accession numbers listed in Table 1.,1
Not applicable 26,1
